text,tags
Mashina Vremeni Pechal OGG,"B-ARTIST,I-ARTIST,B-TITLE,B-QUALITY"
Heat 2022,"B-TITLE,B-YEAR"
Boy s Tenyu 1953 4K WEBRip AC3,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Brilliantovaya Ruka 2023 480p Dolby Vision WEBRip DivX,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Whiplash 2014 1080p AVC TBS,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
American Sniper 1440p WEB DL AVC,"B-TITLE,I-TITLE,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Kavkazskaya Plennitsa 2022,"B-TITLE,I-TITLE,B-YEAR"
Fiziruk S04E18 2160p,"B-TITLE,O,B-QUALITY"
Дневной дозор 1962,"B-TITLE,I-TITLE,B-YEAR"
Hacksaw Ridge 2023 1080p AVS,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,O"
Jurassic World 8K DVDR AV1,"B-TITLE,I-TITLE,B-QUALITY,I-QUALITY,I-QUALITY"
Zhmurki 1950 4K 8bit HEVC DTS X WiKi,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
The Lion King 1999 480p BRRip AV1,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Операция Ы 2015 1440p 10bit AV1 DD,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
2015 The Matrix 1440p WEB DL VP9 AC3,"B-YEAR,B-TITLE,I-TITLE,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Madonna Thunderstruck,"B-ARTIST,B-TITLE"
Annihilation 1959 720p HDR REMUX RARBG,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
Tenet 1950 1440p VP9 DDP5 1 DRONES,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Хабиб Москва,"B-ARTIST,B-TITLE"
Apocalypse Now 2023 480p DTS HD HONE,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
Sibirskiy Tsiryulnik 2014 1440p x265 DTS X DEMAND,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Birdman,B-TITLE
Black Mirror S01E02 4K UHD HDTV,"B-TITLE,I-TITLE,O,B-QUALITY,I-QUALITY,I-QUALITY"
La La Land 2000,"B-TITLE,I-TITLE,I-TITLE,B-YEAR"
Майор 1988,"B-TITLE,B-YEAR"
Kendrick Lamar Wonderwall,"B-ARTIST,I-ARTIST,B-TITLE"
Avatar 2015 1440p HDR10 BDRip AV1,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
2020 Kill Bill 8K REMUX TrueHD,"B-YEAR,B-TITLE,I-TITLE,B-QUALITY,I-QUALITY,I-QUALITY"
Adele Bad Guy,"B-ARTIST,B-TITLE,I-TITLE"
1950 Coco 1080p,"B-YEAR,B-TITLE,B-QUALITY"
Lone Survivor 720p WEB DL DivX DDP,"B-TITLE,I-TITLE,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Blade Runner 2049 720p BDRip x265,"B-TITLE,I-TITLE,I-TITLE,B-QUALITY,I-QUALITY,I-QUALITY"
Grigoriy Leps Videli Noch DSD,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,B-QUALITY"
Madonna Lose Yourself 320kbps,"B-ARTIST,B-TITLE,I-TITLE,B-QUALITY"
Avatar 1953,"B-TITLE,B-YEAR"
Nelyubov 1968 1440p BluRay VP9,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Maroon 5 Take On Me OGG,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Man of Steel 2015 8K H 264 DTS HD,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
House of the Dragon S06E04 1080p REMUX DivX,"B-TITLE,I-TITLE,I-TITLE,I-TITLE,O,B-QUALITY,I-QUALITY,I-QUALITY"
4K,B-QUALITY
Narcos S02E09 4K BDRemux H 265 DDP5 1,"B-TITLE,O,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Avengers Infinity War 1989,"B-TITLE,I-TITLE,I-TITLE,B-YEAR"
Schindlers List 1997 4K BRRip,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY"
Brat 1969,"B-TITLE,B-YEAR"
WALL E 1969 1080p HDRip CtrlHD,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
Gravity,B-TITLE
Captain America 1972 2160p WEBRip DRONES,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
Lady Gaga Wish You Were Here AAC,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Jurassic Park 1968 480p 8bit BDREMUX SiNNERS,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
The Lord of the Rings 1986 1440p EbP,"B-TITLE,I-TITLE,I-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,O"
Whiplash 1989 480p DVDR H 264 DRONES,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Легенда 17 1978 480p 10bit BluHD,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
Stilyagi 8K UHD BluRay XviD,"B-TITLE,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Mayor 1997 8K WEBRip H 264,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Timati Zvezda po Imeni Solntse ALAC,"B-ARTIST,B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-QUALITY"
The Office S03E18 2011 720p DivX TrueHD,"B-TITLE,I-TITLE,O,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Squid Game S04E11 1955 2160p UHD DVDR H 264,"B-TITLE,I-TITLE,O,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Yurev Den 1963 1080p UHD x264 DTS X RARBG,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
The Martian 2008 720p HDR10Plus BDRip,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Alien 8K BluRay,"B-TITLE,B-QUALITY,I-QUALITY"
Fargo S05E16 2000 8K HDTV,"B-TITLE,O,B-YEAR,B-QUALITY,I-QUALITY"
The Departed 2018 480p HDTV PSA,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
Schindlers List 1957 4K DVDR HEVC CMRG,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
Dune 720p WEB DL HEVC DTS X,"B-TITLE,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
movie,O
Ex Machina 1988 4K HDR10 BluRay HEVC FGT,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Sektor Gaza Gruppa Krovi,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE"
Madonna Beat It,"B-ARTIST,B-TITLE,I-TITLE"
Lyubov i Golubi 1958 2160p HDR HEVC HONE,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
The Hateful Eight 1997 1080p REMUX AV1,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
1977,B-YEAR
The Dark Knight Rises,"B-TITLE,I-TITLE,I-TITLE,I-TITLE"
Cheburashka 2017,"B-TITLE,B-YEAR"
Boy s Tenyu 1957 1440p HDR10Plus BRRip x264 AVS,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Spotlight 1994,"B-TITLE,B-YEAR"
Metro 1966,"B-TITLE,B-YEAR"
John Wick 720p Dolby Vision AVC,"B-TITLE,I-TITLE,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Ленинград Ягода Малинка 256kbps,"B-ARTIST,B-TITLE,I-TITLE,B-QUALITY"
Encanto 1959 1080p x264,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY"
The Mandalorian S07E10 720p BDRemux AV1,"B-TITLE,I-TITLE,O,B-QUALITY,I-QUALITY,I-QUALITY"
Coco 2020 1080p DVDRip DEMAND,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
Aquaman 2012 4K HDR10Plus BDRemux x265 YTS,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Casino 2013 2160p DV HDTV DTS X CHD,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Rammstein Starboy 128kbps,"B-ARTIST,B-TITLE,B-QUALITY"
The Mandalorian S07E04 1978 720p x264,"B-TITLE,I-TITLE,O,B-YEAR,B-QUALITY,I-QUALITY"
Inglourious Basterds 1960 8K DVDR DivX TBS,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
Soul 1951 4K WEBRip HEVC AC3,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Alisa Nam s Toboy 192kbps,"B-ARTIST,B-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Slovo Patsana S04E07 1977 1440p HDR10Plus x265,"B-TITLE,I-TITLE,O,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Drake Highway to Hell 2020 M4A,"B-ARTIST,B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY"
Hacksaw Ridge 1950 1080p HDTV x264 BTN,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
Ivan Vasilevich Menyaet Professiyu 2000,"B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-YEAR"
Schindlers List 1981,"B-TITLE,I-TITLE,B-YEAR"
Mayor Sokolov S04E02 1956 2160p HDRip x264,"B-TITLE,I-TITLE,O,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Durak 1983,"B-TITLE,B-YEAR"
Aquaman 1981 4K 10bit BDREMUX XviD,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Alien 1975 8K BDRip x265 EVO,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
Fiziruk S06E18 1080p DVDRip,"B-TITLE,O,B-QUALITY,I-QUALITY"
Jurassic Park 2000 HEVC BluHD,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,O"
Kendrick Lamar Like a Rolling Stone ALAC,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-QUALITY"
2015 Memento 8K BluRay,"B-YEAR,B-TITLE,B-QUALITY,I-QUALITY"
Chernaya Molniya 1955 480p BDREMUX HEVC DDP PSA,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
The Terminator 2002 2160p x264 HONE,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
The Boys S05E16 2160p 10bit,"B-TITLE,I-TITLE,O,B-QUALITY,I-QUALITY"
Bitva 2021 1440p HDR10 H 265 DD,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Король и Шут Москва 192kbps,"B-ARTIST,I-ARTIST,I-ARTIST,B-TITLE,B-QUALITY"
Billie Eilish Smoke on the Water AAC,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Jay Z Bad Guy 256kbps,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,B-QUALITY"
Антикиллер 1954 2160p H 264,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Full Metal Jacket 1959 720p DVDR DivX,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Brilliantovaya Ruka 1962,"B-TITLE,I-TITLE,B-YEAR"
Dnevnoy Dozor 1985,"B-TITLE,I-TITLE,B-YEAR"
Kuhnya S03E11 8K x265,"B-TITLE,O,B-QUALITY,I-QUALITY"
Девчата 2007 4K WEB DL AVC GECKOS,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Prison Break S08E08 480p WEB DL VP9,"B-TITLE,I-TITLE,O,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Oasis Time 320kbps,"B-ARTIST,B-TITLE,B-QUALITY"
Nelyubov 2023 4K AVC MZABI,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
Breaking Bad S07E14 1991 4K HDRip DTS X,"B-TITLE,I-TITLE,O,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
The Lion King 2003,"B-TITLE,I-TITLE,I-TITLE,B-YEAR"
Full Metal Jacket 1980 1440p YTS,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,O"
Prison Break S03E16 8K x265,"B-TITLE,I-TITLE,O,B-QUALITY,I-QUALITY"
Alien 480p HDR10Plus DVDRip,"B-TITLE,B-QUALITY,I-QUALITY,I-QUALITY"
WALL E 1080p IMAX BRRip DivX,"B-TITLE,I-TITLE,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Forrest Gump 1971,"B-TITLE,I-TITLE,B-YEAR"
Man of Steel 2010 8K HDTV Atmos GalaxyRG,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
Doctor Strange 2014 4K HDR10 SPARKS,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
Hans Zimmer Master of Puppets AAC,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Spider Man 2023 4K BluRay,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY"
Inception 1080p IMAX DDP,"B-TITLE,B-QUALITY,I-QUALITY,I-QUALITY"
Casino Royale 1968 1440p AVC,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY"
Birdman 1957 2160p DV MZABI,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
Casino Royale 2016 720p DV H 265 AC3 YIFY,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Daft Punk One 1984 ALAC,"B-ARTIST,I-ARTIST,B-TITLE,B-YEAR,B-QUALITY"
Man of Steel 1993 1440p DVDR VP9,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Любовь и голуби 2011,"B-TITLE,I-TITLE,I-TITLE,B-YEAR"
NEW copy,"O,O"
Zemfira Kogda Tvoya Devushka Bolna 96kbps,"B-ARTIST,B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Man of Steel 1961,"B-TITLE,I-TITLE,I-TITLE,B-YEAR"
John Wick Chapter 3 1965 720p 8bit HDRip TrueHD,"B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Ed Sheeran Watermelon Sugar DSD,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,B-QUALITY"
Антикиллер 2003 4K HDR10 BDREMUX AV1 DD,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Lone Survivor 1959 1440p 10bit BRRip TGx,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
The Hateful Eight 1980 720p IMAX REMUX x264 YTS,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
1964 Inglourious Basterds 8K 10bit BDRemux H 265,"B-YEAR,B-TITLE,I-TITLE,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Lone Survivor 1960 1080p WEBRip AC3 RARBG,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
1964 Black Panther 480p REMUX,"B-YEAR,B-TITLE,I-TITLE,B-QUALITY,I-QUALITY"
892,O
Inception 2021 2160p HDRip AV1 BluHD,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
Brigada S03E21 1970 2160p BluRay,"B-TITLE,O,B-YEAR,B-QUALITY,I-QUALITY"
Бумер 1992 4K BDRip AVC DDP BluHD,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Skriptonit Alyuminievye Ogurtsy,"B-ARTIST,B-TITLE,I-TITLE"
OGG,B-QUALITY
1951 Joker 720p DV,"B-YEAR,B-TITLE,B-QUALITY,I-QUALITY"
Cheburashka 2018 1080p HDR10 BDREMUX XviD DRONES,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Queen Dont Stop Believin 2017 96kbps,"B-ARTIST,B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY"
The Dark Knight 2002 1440p BDREMUX AVC Atmos MEZG,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Billie Eilish Back in Black 1950 ALAC,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY"
Aquaman 2018,"B-TITLE,B-YEAR"
Led Zeppelin Another Brick in the Wall FLAC,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Gladiator 2011 480p AVC DD5 1 YIFY,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Devchata 4K WEBRip DivX AC3,"B-TITLE,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Annihilation 4K,"B-TITLE,B-QUALITY"
Dexter S01E06 8K H 265 EAC3,"B-TITLE,O,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Madonna Billie Jean,"B-ARTIST,B-TITLE,I-TITLE"
480p,B-QUALITY
Mindhunter S07E17 1440p HDTV,"B-TITLE,O,B-QUALITY,I-QUALITY"
Foo Fighters Master of Puppets 96kbps,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE,B-QUALITY"
The Departed 1975 WEB DL x264 TrueHD TBS,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
Elvis Presley Boulevard of Broken Dreams 2008 256kbps,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY"
Kill Bill 2012 1080p Dolby Vision HDRip AV1,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Yolki 1995 480p HEVC DDP5 1 CtrlHD,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
The Empire Strikes Back 1988 480p DVDRip x264,"B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Jurassic World 1990 720p HDTV ION10,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,O"
Жмурки 4K 8bit BluRay VP9 DDP,"B-TITLE,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
The Matrix 1994 1080p UHD BDRemux,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
copy,O
Apocalypse Now 2017 720p BDRip,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY"
Mazhor S07E23 BRRip DDP5 1,"B-TITLE,O,B-QUALITY,I-QUALITY,I-QUALITY"
Mnogotochie Eto Ne Lyubov 192kbps,"B-ARTIST,B-TITLE,I-TITLE,I-TITLE,B-QUALITY"
272,O
Mazhor S01E21 1979 1080p IMAX x264,"B-TITLE,O,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY"
Легенда 17 2006 720p HDR BluRay VP9 DTS HD,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY"
Foo Fighters Thinking Out Loud,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE"
Metallica Levitating,"B-ARTIST,B-TITLE"
Inside Out 2007 1080p 8bit HEVC MEZG,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
Ivan Vasilevich Menyaet Professiyu 1952 8K IMAX HDTV MZABI,"B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
Suits S02E20 1981 2160p XviD,"B-TITLE,O,B-YEAR,B-QUALITY,I-QUALITY"
Дылда 2010,"B-TITLE,B-YEAR"
Jurassic World 2013 1440p HDRip x265 EAC3 BTN,"B-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
La La Land 1987 8K DV DivX RARBG,"B-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
Stilyagi 1964 4K WEB DL SiNNERS,"B-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,O"
Maroon 5 Wish You Were Here M4A,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Бой с тенью 1973,"B-TITLE,I-TITLE,I-TITLE,B-YEAR"
Jay Z Take On Me 128kbps,"B-ARTIST,I-ARTIST,B-TITLE,I-TITLE,I-TITLE,B-QUALITY"
Prison Break S02E04 1954 4K WEBRip,"B-TITLE,I-TITLE,O,B-YEAR,B-QUALITY,I-QUALITY"
The Lord of the Rings 2016 480p REMUX VP9 DTS CtrlHD,"B-TITLE,I-TITLE,I-TITLE,I-TITLE,I-TITLE,B-YEAR,B-QUALITY,I-QUALITY,I-QUALITY,I-QUALITY,O"
